Episode 259 | Loss: 0.261 | Policy: 0.243 | Value: 0.088 | Reward: 4909.13
Episode 260 | Loss: 0.060 | Policy: 0.082 | Value: 0.010 | Reward: 4909.23
Episode 261 | Loss: -0.088 | Policy: -0.089 | Value: 0.057 | Reward: 4909.05
Episode 262 | Loss: -0.138 | Policy: -0.182 | Value: 0.143 | Reward: 4909.33
Episode 263 | Loss: -0.101 | Policy: -0.133 | Value: 0.118 | Reward: 4909.00
Episode 264 | Loss: -0.079 | Policy: -0.063 | Value: 0.022 | Reward: 4909.15
Episode 265 | Loss: 0.147 | Policy: 0.156 | Value: 0.036 | Reward: 4909.30
Episode 266 | Loss: 0.299 | Policy: 0.271 | Value: 0.109 | Reward: 4908.93
Episode 267 | Loss: 0.258 | Policy: 0.243 | Value: 0.086 | Reward: 4909.23
Episode 268 | Loss: 0.062 | Policy: 0.084 | Value: 0.011 | Reward: 4909.03
Episode 269 | Loss: -0.091 | Policy: -0.091 | Value: 0.053 | Reward: 4909.08
Episode 270 | Loss: -0.095 | Policy: -0.135 | Value: 0.134 | Reward: 4909.13
Episode 271 | Loss: -0.114 | Policy: -0.141 | Value: 0.109 | Reward: 4908.88
Episode 272 | Loss: -0.074 | Policy: -0.056 | Value: 0.019 | Reward: 4909.18
Episode 273 | Loss: 0.154 | Policy: 0.162 | Value: 0.039 | Reward: 4909.23
Episode 274 | Loss: 0.308 | Policy: 0.278 | Value: 0.115 | Reward: 4909.13
Episode 275 | Loss: 0.270 | Policy: 0.250 | Value: 0.094 | Reward: 4909.20
Episode 276 | Loss: 0.079 | Policy: 0.099 | Value: 0.015 | Reward: 4909.10
Episode 277 | Loss: -0.083 | Policy: -0.076 | Value: 0.041 | Reward: 4909.25
Episode 278 | Loss: -0.093 | Policy: -0.123 | Value: 0.114 | Reward: 4909.23
Episode 279 | Loss: -0.112 | Policy: -0.131 | Value: 0.091 | Reward: 4909.18
Episode 280 | Loss: -0.064 | Policy: -0.044 | Value: 0.014 | Reward: 4909.33
Episode 281 | Loss: 0.164 | Policy: 0.170 | Value: 0.043 | Reward: 4909.28
Episode 282 | Loss: 0.316 | Policy: 0.284 | Value: 0.118 | Reward: 4908.90
Episode 283 | Loss: 0.273 | Policy: 0.252 | Value: 0.095 | Reward: 4909.13
Episode 284 | Loss: 0.080 | Policy: 0.099 | Value: 0.015 | Reward: 4909.20
Episode 285 | Loss: -0.091 | Policy: -0.084 | Value: 0.041 | Reward: 4909.15
Episode 286 | Loss: -0.096 | Policy: -0.127 | Value: 0.117 | Reward: 4909.20
Episode 287 | Loss: -0.146 | Policy: -0.167 | Value: 0.097 | Reward: 4909.25
Episode 288 | Loss: -0.079 | Policy: -0.060 | Value: 0.018 | Reward: 4909.03
Episode 289 | Loss: 0.141 | Policy: 0.152 | Value: 0.033 | Reward: 4909.23
Episode 290 | Loss: 0.279 | Policy: 0.256 | Value: 0.098 | Reward: 4909.53
Episode 291 | Loss: 0.242 | Policy: 0.230 | Value: 0.076 | Reward: 4909.00
Episode 292 | Loss: 0.051 | Policy: 0.073 | Value: 0.008 | Reward: 4904.29
Episode 293 | Loss: -0.112 | Policy: -0.113 | Value: 0.054 | Reward: 4909.30
Episode 294 | Loss: -0.107 | Policy: -0.154 | Value: 0.146 | Reward: 4909.08
Episode 295 | Loss: -0.087 | Policy: -0.127 | Value: 0.134 | Reward: 4909.10
Episode 296 | Loss: -0.095 | Policy: -0.088 | Value: 0.039 | Reward: 4909.25
Episode 297 | Loss: 0.064 | Policy: 0.085 | Value: 0.011 | Reward: 4909.15
Episode 298 | Loss: 0.181 | Policy: 0.183 | Value: 0.050 | Reward: 4909.08
Episode 299 | Loss: 0.142 | Policy: 0.152 | Value: 0.034 | Reward: 4909.10
Episode 300 | Loss: -0.028 | Policy: -0.001 | Value: 0.000 | Reward: 4909.23
Episode 301 | Loss: -0.083 | Policy: -0.065 | Value: 0.019 | Reward: 4909.18
Episode 302 | Loss: -0.070 | Policy: -0.049 | Value: 0.014 | Reward: 4909.13
Episode 303 | Loss: 0.018 | Policy: 0.044 | Value: 0.003 | Reward: 4909.35
