Episode 294 | Loss: -0.016 | Policy: 0.010 | Value: 0.003 | Reward: 99.94
Episode 295 | Loss: 0.117 | Policy: 0.127 | Value: 0.035 | Reward: 156.50
Episode 296 | Loss: 0.063 | Policy: 0.082 | Value: 0.017 | Reward: 155.13
Episode 297 | Loss: -0.090 | Policy: -0.073 | Value: 0.021 | Reward: 155.63
Episode 298 | Loss: -0.089 | Policy: -0.075 | Value: 0.028 | Reward: 154.88
Episode 299 | Loss: -0.008 | Policy: 0.018 | Value: 0.003 | Reward: 155.63
Episode 300 | Loss: -0.003 | Policy: 0.023 | Value: 0.003 | Reward: 155.76
Episode 301 | Loss: -0.072 | Policy: -0.062 | Value: 0.034 | Reward: 155.38
Episode 302 | Loss: -0.066 | Policy: -0.049 | Value: 0.021 | Reward: 156.26
Episode 303 | Loss: 0.058 | Policy: 0.075 | Value: 0.019 | Reward: 155.26
Episode 304 | Loss: 0.049 | Policy: 0.070 | Value: 0.012 | Reward: 155.26
Episode 305 | Loss: -0.071 | Policy: -0.050 | Value: 0.012 | Reward: 155.01
Episode 306 | Loss: -0.052 | Policy: -0.034 | Value: 0.016 | Reward: 155.50
Episode 307 | Loss: 0.105 | Policy: 0.116 | Value: 0.030 | Reward: 155.76
Episode 308 | Loss: 0.118 | Policy: 0.128 | Value: 0.031 | Reward: 155.51
Episode 309 | Loss: -0.008 | Policy: 0.014 | Value: 0.009 | Reward: 156.50
Episode 310 | Loss: -0.025 | Policy: -0.001 | Value: 0.005 | Reward: 156.38
