Episode 277 | Loss: 0.566 | Policy: 0.433 | Value: 0.278 | Reward: -50.03
Episode 278 | Loss: 0.508 | Policy: 0.395 | Value: 0.236 | Reward: -50.03
Episode 279 | Loss: -0.019 | Policy: -0.016 | Value: 0.005 | Reward: -40.03
Episode 280 | Loss: 0.189 | Policy: 0.168 | Value: 0.054 | Reward: -50.04
Episode 281 | Loss: -0.023 | Policy: -0.023 | Value: 0.011 | Reward: -50.03
Episode 282 | Loss: -0.032 | Policy: -0.030 | Value: 0.007 | Reward: -50.03
Episode 283 | Loss: -0.013 | Policy: -0.024 | Value: 0.033 | Reward: -40.04
Episode 284 | Loss: 0.203 | Policy: 0.182 | Value: 0.057 | Reward: -40.03
Episode 285 | Loss: 0.337 | Policy: 0.282 | Value: 0.126 | Reward: -40.03
Episode 286 | Loss: 1.129 | Policy: 0.755 | Value: 0.764 | Reward: -60.03
Episode 287 | Loss: 0.048 | Policy: 0.037 | Value: 0.041 | Reward: -40.03
Episode 288 | Loss: 0.123 | Policy: 0.119 | Value: 0.030 | Reward: -50.03
Episode 289 | Loss: -0.035 | Policy: -0.038 | Value: 0.028 | Reward: -50.03
Episode 290 | Loss: -0.093 | Policy: -0.195 | Value: 0.229 | Reward: -40.03
Episode 291 | Loss: 0.309 | Policy: 0.269 | Value: 0.103 | Reward: -60.03
Episode 292 | Loss: -0.058 | Policy: -0.047 | Value: 0.006 | Reward: -50.03
Episode 293 | Loss: 0.072 | Policy: 0.081 | Value: 0.012 | Reward: -50.04
Episode 294 | Loss: 0.014 | Policy: 0.024 | Value: 0.006 | Reward: -50.04
Episode 295 | Loss: -0.101 | Policy: -0.112 | Value: 0.045 | Reward: -50.03
Episode 296 | Loss: 0.060 | Policy: 0.061 | Value: 0.015 | Reward: -60.03
Episode 297 | Loss: -0.081 | Policy: -0.085 | Value: 0.022 | Reward: -60.03
Episode 298 | Loss: -0.065 | Policy: -0.067 | Value: 0.014 | Reward: -60.03
Episode 299 | Loss: 0.116 | Policy: 0.111 | Value: 0.020 | Reward: -60.03
Episode 300 | Loss: 0.123 | Policy: 0.117 | Value: 0.020 | Reward: -60.03
Episode 301 | Loss: -0.028 | Policy: -0.027 | Value: 0.005 | Reward: -60.03
Episode 302 | Loss: -0.013 | Policy: -0.010 | Value: 0.003 | Reward: -60.03
Episode 303 | Loss: 0.176 | Policy: 0.162 | Value: 0.036 | Reward: -60.03
Episode 304 | Loss: 0.148 | Policy: 0.139 | Value: 0.027 | Reward: -60.03
Episode 305 | Loss: -0.043 | Policy: -0.044 | Value: 0.013 | Reward: -60.03
Episode 306 | Loss: -0.036 | Policy: -0.033 | Value: 0.007 | Reward: -60.03
Episode 307 | Loss: 0.165 | Policy: 0.155 | Value: 0.033 | Reward: -60.03
Episode 308 | Loss: 0.160 | Policy: 0.151 | Value: 0.031 | Reward: -60.03
Episode 309 | Loss: 0.402 | Policy: 0.338 | Value: 0.142 | Reward: -70.03
Episode 310 | Loss: -0.149 | Policy: -0.232 | Value: 0.178 | Reward: -60.03
